predicted.class,index
0,test0
0,test1
0,test2
0,test3
0,test4
0,test5
0,test6
0,test7
0,test8
0,test9
0,test10
0,test11
0,test12
0,test13
0,test14
0,test15
0,test16
0,test17
0,test18
0,test19
0,test20
0,test21
0,test22
0,test23
0,test24
0,test25
0,test26
0,test27
0,test28
0,test29
0,test30
0,test31
0,test32
0,test33
0,test34
0,test35
0,test36
0,test37
0,test38
0,test39
0,test40
0,test41
0,test42
0,test43
0,test44
0,test45
0,test46
0,test47
0,test48
0,test49
0,test50
0,test51
0,test52
0,test53
0,test54
0,test55
0,test56
0,test57
0,test58
0,test59
0,test60
0,test61
0,test62
0,test63
0,test64
0,test65
0,test66
0,test67
0,test68
0,test69
0,test70
0,test71
0,test72
0,test73
0,test74
0,test75
0,test76
0,test77
0,test78
0,test79
0,test80
0,test81
0,test82
0,test83
0,test84
0,test85
0,test86
0,test87
0,test88
0,test89
0,test90
0,test91
0,test92
0,test93
0,test94
0,test95
0,test96
0,test97
0,test98
0,test99
0,test100
0,test101
0,test102
0,test103
0,test104
0,test105
0,test106
0,test107
0,test108
0,test109
0,test110
0,test111
0,test112
0,test113
0,test114
0,test115
0,test116
0,test117
0,test118
0,test119
0,test120
0,test121
0,test122
0,test123
0,test124
0,test125
0,test126
0,test127
0,test128
0,test129
0,test130
0,test131
0,test132
0,test133
0,test134
0,test135
0,test136
0,test137
0,test138
0,test139
0,test140
0,test141
0,test142
0,test143
1,test144
0,test145
0,test146
0,test147
0,test148
0,test149
0,test150
0,test151
0,test152
0,test153
0,test154
0,test155
0,test156
0,test157
0,test158
0,test159
0,test160
0,test161
0,test162
0,test163
0,test164
0,test165
0,test166
0,test167
0,test168
0,test169
0,test170
0,test171
0,test172
0,test173
0,test174
0,test175
0,test176
0,test177
0,test178
0,test179
0,test180
0,test181
0,test182
0,test183
0,test184
0,test185
0,test186
0,test187
0,test188
0,test189
0,test190
0,test191
0,test192
0,test193
0,test194
0,test195
0,test196
0,test197
0,test198
0,test199
0,test200
0,test201
0,test202
0,test203
0,test204
0,test205
0,test206
0,test207
0,test208
0,test209
0,test210
0,test211
0,test212
0,test213
0,test214
0,test215
0,test216
0,test217
0,test218
0,test219
0,test220
0,test221
0,test222
0,test223
0,test224
0,test225
0,test226
0,test227
0,test228
0,test229
0,test230
0,test231
0,test232
0,test233
0,test234
0,test235
0,test236
0,test237
0,test238
0,test239
0,test240
0,test241
0,test242
0,test243
0,test244
0,test245
0,test246
0,test247
0,test248
0,test249
0,test250
0,test251
0,test252
0,test253
0,test254
0,test255
0,test256
0,test257
